## Torsion are defined with the following atomIDs:
# dihed1: ai= 13335 aj= 13334 ak= 13330 al= 13331
# dihed2: ai= 13329 aj= 13328 ak= 13326 al= 13313
# dihed3: ai= 13328 aj= 13326 ak= 13313 al= 13318
# dihed4: ai= 13323 aj= 13324 ak= 13340 al= 13341
# dihed5: ai= 13333 aj= 13332 ak= 13338 al= 13339
# dihed6: ai= 13330 aj= 13331 ak= 13336 al= 13337
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
97 -101.810 -152.030   74.852 -138.945   58.884  -25.942
98  -41.734 -145.207   90.383 -133.147  -28.398 -137.162
99  -77.084 -130.539   72.408 -149.605   -1.727 -171.010
100  -69.948 -144.640   76.030 -138.745    2.054 -101.469
101  -66.410 -157.534   79.291 -157.509   -9.186  -33.819
102   17.108 -146.653   79.919 -141.472    1.909 -112.598
103  -51.890 -167.354   92.432 -137.087 -170.554  -70.592
104  -33.180 -157.209   80.049 -149.800 -167.520  -83.447
105  -36.880 -170.458  128.393 -111.630   -3.685  -96.764
106   -4.351 -154.921  121.017 -109.758  -25.846 -114.866
107  -34.451 -157.229  128.969  -89.537  -25.408 -109.867
108   -4.648 -148.362  124.311  -79.259  -38.817 -115.527
109  -40.954 -150.186  114.555  -97.897  166.724  -57.939
110  -58.307 -155.972  131.792 -108.951    9.147  -93.573
111  -59.186 -118.560   98.813 -104.604  -53.376  150.886
112 -133.766 -134.686  118.379  -84.838  179.949   57.772
113  -69.149 -125.592   84.934 -105.010    9.176  -65.975
114  -77.315 -140.086   72.322 -140.889   21.863  -46.124
115  -62.200 -136.449   79.227 -125.899   13.673  -70.289
116  -61.287 -145.999   74.063 -130.809  -12.956  -76.288
117  -32.464 -140.697   69.080 -144.091   16.370 -114.351
118  -12.180 -141.771   74.912 -126.914   34.596 -123.942
119  -21.137 -128.313   81.737 -144.456   13.151 -104.711
120  -56.875 -153.078   87.574 -132.708   -2.997 -117.161
121  -27.491 -136.817   67.869 -140.359   23.561 -132.077
122  -64.293 -144.617   80.593 -131.725  118.073  -64.372
123  -34.392 -139.630   74.739 -142.987   31.279 -109.122
124  -62.751 -142.303   77.921 -138.000   27.481 -167.032
125  -51.118 -137.391   89.521 -147.461   -6.959 -111.397
126  -42.160 -145.104   80.699 -135.963   27.808 -108.335
127  -61.917 -149.901   84.020 -148.458  -19.127 -105.637
128  -21.232 -165.600   99.075 -137.144   22.080  -96.464
129  -61.827 -137.184   66.976 -143.007   -5.743 -139.943
130  -52.528 -165.370  132.057  -91.215   -2.677  -92.514
131  -75.563 -117.554  108.784 -109.468  133.849  -53.769
132  -53.845 -146.994   98.898  -78.070  -25.061  -78.346
133  -54.353 -150.643  118.072  -96.930   -3.044 -126.787
134  -13.380 -147.045  113.115 -102.923   11.274 -118.826
135  -27.296 -175.010  112.980 -110.468 -107.892  -80.287
136  -57.502 -123.545   98.627  -88.791    9.101  -89.799
137  -66.743 -140.043  114.202 -105.649    0.960  -90.697
138  -32.676 -129.998   77.208 -105.398    2.525 -136.139
139  -12.679 -140.520  109.640 -135.898  -47.086 -142.647
140  -77.360 -151.242  105.993 -131.809   -7.262 -130.667
141  -60.141 -100.908   88.146 -111.996   15.965 -116.434
142  -82.833 -141.547   77.924 -151.994   57.651 -103.133
143  -65.603 -103.404   94.295 -124.172   24.547 -162.497
144  -76.799 -118.417   81.270 -172.264    1.051 -105.439
145  -42.693 -120.586   84.514 -132.505   20.595  -85.099
146  -87.458 -145.907   78.039 -128.888   -9.833  -49.957
147  -61.590 -143.565   90.210 -137.346   19.648  -85.566
148  -74.268 -120.862   82.950 -148.515   20.666  -65.615
149  -61.975 -137.097  110.022 -122.718   21.801 -135.271
150  -72.979 -145.219  103.146 -135.032   -1.792  -59.269
151  -77.236 -127.449   83.479 -129.107   42.874  -56.080
152  -23.724 -127.321   97.637 -120.068  -26.284 -120.974
153  -49.887 -143.587  101.970 -134.384   15.462  -82.144
154  -42.305 -134.935  104.151 -130.923    7.311  -96.502
155  -44.805 -138.955  101.964 -139.834  -30.964  -83.956
156  -37.630 -151.625  107.349 -151.265   -4.500 -120.764
157  -51.481 -133.703   85.909 -117.500    6.524  -64.314
158  -41.459 -145.788  100.343 -137.512   23.595 -116.735
159  -42.362 -131.853  108.487 -134.202  -62.410  169.605
160  -65.733 -147.348  111.921 -131.359  -27.804 -129.860
161  -71.018 -145.354  106.137 -135.844 -165.411  -65.064
162  -79.511 -145.495  107.450 -147.220   34.871 -119.904
163  -50.364 -142.191  128.553 -138.555  -29.806 -120.110
164  -77.950 -137.177  101.526 -132.318   -4.206 -104.303
165  -74.267 -118.187   94.990 -134.036  -20.736  -63.038
166  -78.728 -145.220  124.663 -140.564    1.315  -66.630
167   10.711 -156.607  112.110 -110.323   31.001 -104.883
168  -31.487 -161.922   86.895 -153.713   21.596 -109.447
169    0.701 -153.466   98.558 -129.412   18.853 -104.140
170   43.214 -149.620  120.745 -128.077   20.870 -116.476
171   47.214 -160.000  125.068 -127.457  -13.114 -109.509
172   74.124 -147.736  121.546 -139.296  -38.794 -107.831
173   44.169 -164.891  129.603 -115.982    9.261  -98.905
174  -22.533 -155.501  126.397 -124.304   57.226 -127.325
