,,,Model 1 ,,,Model 2,,
ID,Name,Status,Exp. endpoint,Pred. by model eq.,Pred.Mod.Eq.Res.,Exp. endpoint,Pred. by model eq.,Pred.Mod.Eq.Res.
37,COC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.7959,5.7339,-0.062,5.7959,5.673,-0.1229
38,CCOC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.8539,5.637,-0.2169,5.8539,5.7362,-0.1177
39,COC1=CC(CC2=CNC3=C2C=C(Cl)C=C3)=CC(OC)=C1OC,Training,4.6198,4.6729,0.0531,4.6198,4.6681,0.0483
40,COC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC=C2,Training,5.3768,5.6327,0.256,5.3768,5.6377,0.261
41,CCOC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC=C2,Training,5.2676,5.5769,0.3093,5.2676,5.5516,0.284
42,COC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.7696,5.8154,0.0459,5.7696,5.639,-0.1306
43,CCOC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Cl)=C2,Training,5.6021,5.7744,0.1724,5.6021,5.6075,0.0054
44,COC1=CC(=CC(OC)=C1OC)C(=O)C1=CNC2=C1C=C(Br)C=C2,Training,5.7212,5.6987,-0.0225,5.7212,5.7413,0.0201
45,COC1=CC(CC2=CNC3=C2C=C(Br)C=C3)=CC(OC)=C1OC,Training,4.8861,4.8846,-0.0014,4.8861,4.9578,0.0718
46,COC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Br)=C2,Training,6.0044,5.8003,-0.204,6.0044,5.89,-0.1144
47,COC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Br)=C2,Training,5.8861,6.0311,0.1451,5.8861,6.0223,0.1363
48,COC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Br)=C2,Prediction,5.8861,5.8882,0.0021,5.8861,5.912,0.0259
49,CCOC(=O)C1=C(SC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Br)=C2,Training,5.7959,5.7604,-0.0355,5.7959,5.7412,-0.0547
50,CCOC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Br)=C2,Training,5.7959,5.8697,0.0738,5.7959,5.9681,0.1722
51,CCOC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(Br)=C2,Training,5.7696,5.9348,0.1653,5.7696,5.8005,0.031
52,COC1=CC2=C(NC=C2C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C=C1,Training,5.4685,5.6453,0.1768,5.4685,5.6072,0.1386
53,COC1=CC2=C(NC=C2CC2=CC(OC)=C(OC)C(OC)=C2)C=C1,Prediction,4.8539,4.7114,-0.1425,4.8539,4.7909,-0.0629
54,COC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(OC)=C2,Training,6.1739,5.8409,-0.333,6.1739,5.8821,-0.2919
55,COC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(OC)=C2,Training,5.8539,5.7464,-0.1075,5.8539,5.8353,-0.0186
56,CCOC(=O)C1=C(C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(OC)=C2,Prediction,5.585,5.7696,0.1845,5.585,5.7713,0.1863
57,CCOC(=O)C1=C(CC2=CC(OC)=C(OC)C(OC)=C2)C2=C(N1)C=CC(OC)=C2,Training,5.5528,5.6198,0.0669,5.5528,5.7236,0.1708
