## Torsion are defined with the following atomIDs:
# dihed1: ai= 8399 aj= 8398 ak= 8397 al= 8393
# dihed2: ai= 8398 aj= 8397 ak= 8393 al= 8394
# dihed3: ai= 8392 aj= 8391 ak= 8389 al= 8379
# dihed4: ai= 8391 aj= 8389 ak= 8379 al= 8384
# dihed5: ai= 8382 aj= 8383 ak= 8406 al= 8407
# dihed6: ai= 8386 aj= 8387 ak= 8408 al= 8414
# dihed7: ai= 8396 aj= 8395 ak= 8403 al= 8404
# dihed8: ai= 8395 aj= 8403 ak= 8404 al= 8405
# dihed9: ai= 8393 aj= 8394 ak= 8400 al= 8401
# dihed10: ai= 8394 aj= 8400 ak= 8401 al= 8402
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
58  -91.696 -163.346  -65.084  -93.207  -36.670   50.979  -80.618  -79.219 -166.814   72.875
59 -175.562 -105.401 -102.937 -103.179  -34.728   57.664   12.699  159.313 -130.152   61.507
60  -87.263  -60.357  -95.634  -87.758  -18.215   39.833  -18.727 -149.612 -126.542   56.874
61  -50.474  -70.552  -97.960  -91.786  -17.184   38.908  -76.946 -124.517 -129.045  150.308
62  -88.161  177.746  -60.260  -74.620  -40.395   43.331  -85.216  -59.777 -162.054   49.539
63   64.030 -115.558  -89.569  -84.831  -20.919   37.511 -112.633  127.009 -114.167 -140.707
64   59.629 -117.459 -100.525  -79.436   -5.172   49.615  -91.666 -105.334 -137.608  128.562
65   56.533 -129.165  -86.740  -82.459   -1.659   31.965  -79.874 -100.538 -149.637  150.222
66   79.262 -128.254  -83.569  -78.204    1.621   27.900  -68.090  -65.605 -159.068  148.735
67   92.209 -117.462  -89.800  -77.408   22.165   44.569  -60.152  -74.678 -151.032  162.429
68   80.272 -115.770  -84.704  -92.177   33.379   49.061 -114.104  112.331 -117.035 -168.778
69   91.419 -127.329  -88.849  -89.657   11.231   59.296  -73.604 -117.913 -139.023  119.010
70   70.346 -113.363  -91.581  -88.659    2.186  139.212  -80.740  -91.672 -109.044   99.307
71   68.813 -146.330 -127.534 -112.771  -39.681  143.736   45.371  171.656 -164.348   67.596
72   58.484 -141.466 -104.414 -110.463   28.754  143.953  -52.455 -139.426 -146.326  149.396
73   60.683 -150.218 -118.430  -90.378  -22.912  156.616 -135.695  130.514  -53.283  -99.989
74   77.741 -152.512 -149.815  -75.332   -0.106  136.399 -101.205 -122.798  -70.618  169.525
75   60.277 -150.818 -154.904  -65.588    7.163  152.414  -97.818 -130.403  -31.962  110.497
76  160.795 -148.377 -164.831  -76.001  -27.757  132.832  -78.232 -123.415    4.050   74.762
77  151.400 -152.181  173.919  -63.739    1.369  138.362  -72.004 -133.418   73.193 -114.915
78  166.562 -163.875 -147.166  -72.705   59.305  123.124 -152.584  159.691   -6.951 -165.315
79 -153.300  142.602 -139.047  -92.072   -8.681  132.205   23.670  150.622 -105.812  158.215
80 -142.217 -161.939 -135.715 -116.448   -3.268  154.143   18.140   63.105 -130.481  121.315
81 -165.447  164.158 -159.398  -89.819   -2.388  138.836   41.456  150.778  -73.569  -89.144
82  118.957   56.871 -143.210 -104.911  -19.850  164.604   22.900   72.251 -146.363   69.948
83 -179.480   12.341 -158.073 -106.102    6.813  151.945   40.618  155.734 -142.323  165.240
84 -161.828   -8.749 -161.776 -107.919   19.644  143.302   22.706  152.761 -111.412  163.303
85  178.872    8.721 -137.417 -119.508  -14.536  144.743   20.952  160.639 -123.316  138.931
86 -167.448   -7.553 -156.140 -104.619   35.150  142.117   -5.716   80.116 -117.217  157.955
87  157.024 -169.503 -157.341  -97.967    0.752  131.795  108.963  -90.065  -54.855 -141.837
88  166.119  178.280 -159.611  -96.643 -162.106  153.579   28.441   67.940  -60.746 -139.352
89  170.637    0.972 -142.580 -108.571   12.988  140.079   37.502 -100.817 -123.860  150.799
90 -177.624  165.001 -153.635  -87.492 -105.940  152.720   51.030 -143.952  -62.753 -134.448
91  163.458 -167.974 -168.277  -99.793    9.007  132.598  102.833  -87.039  -26.124 -152.781
92 -150.041  156.153 -149.313 -104.630   25.073  162.088   12.313   79.356  -71.956 -150.071
93 -177.866 -165.861 -161.553  -86.403   10.749 -147.787  103.293  -87.990  -41.336 -149.339
94  163.915 -164.740 -162.900 -100.688   -5.850 -129.992   63.717  156.913  -20.350 -160.891
95 -172.141  169.330 -160.638  -92.610   -6.092 -148.358   79.217  -79.281  -70.182 -155.952
