  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.462        5.303            0      421.271       43.403      128.855
      127        0.454        5.227            0      423.759       41.458      130.314
      128        0.614        5.187            0      418.413       59.354      127.150
      129        0.564        5.127            0      416.315       63.033      121.330
      130        0.999        5.056            0      416.747       42.990      125.769
      131        0.957        5.231            0      418.813       38.765      129.187
      132        0.851        5.197            0      420.411       34.559      119.355
      133        1.008        5.038            0      413.568       38.500      119.520
      134        0.928        5.093            0      414.165       55.380      129.772
      135        0.888        5.257            0      418.446       73.275      135.471
      136        0.855        5.272            0      423.703       32.423      127.761
      137        0.902        5.079            0      417.908       45.184      126.285
      138        0.607        5.160            0      416.487       56.691      122.380
      139        0.901        5.119            0      420.116       43.523      117.208
      140        0.803        5.091            0      420.168       32.759      118.147
      141        0.974        5.148            0      419.467       41.859      120.718
      142        0.723        5.139            0      413.050       47.702      134.336
      143        0.932        5.205            0      417.349       61.110      115.365
      144        0.730        5.225            0      420.811       62.487      124.255
      145        0.717        5.244            0      415.835       42.489      121.547
      146        0.528        5.183            0      421.016       58.827      123.775
      147        0.642        5.200            0      416.363       51.320      116.910
      148        0.775        5.215            0      417.465       55.646      128.435
      149        0.870        5.156            0      415.671       61.760      117.575
      150        0.701        5.150            0      417.044       51.428      116.371
      151        0.764        5.235            0      418.867       67.327      123.748
      152        0.747        5.165            0      419.862       82.802      111.700
      153        0.716        5.158            0      415.229       60.791      117.409
      154        0.765        5.193            0      418.055       65.180      118.251
      155        0.702        5.196            0      417.954       64.469      116.709
      156        0.727        5.152            0      419.673       59.139      110.821
      157        0.715        5.246            0      420.138       43.526      119.344
      158        0.821        5.218            0      420.636       56.805      116.429
      159        0.798        5.168            0      417.019       46.914      125.177
      160        0.822        5.178            0      417.926       52.131      113.111
      161        0.775        5.232            0      413.476       42.221      118.467
      162        0.814        5.115            0      416.903       44.229      118.612
      163        1.016        5.044            0      416.163       46.120      107.563
      164        0.640        5.136            0      422.030       49.809      119.378
      165        0.791        5.126            0      416.481       48.254      120.586
      166        0.971        5.051            0      416.269       41.923      120.193
      167        0.940        5.213            0      418.207       53.125      125.867
      168        0.401        5.235            0      414.992       37.848      122.070
      169        0.742        5.119            0      417.555       48.534      118.097
      170        1.140        5.137            0      412.752       57.919      115.856
      171        1.058        5.074            0      417.030       68.415      122.426
      172        1.002        5.050            0      418.142       77.255      123.051
      173        1.114        5.121            0      413.068       43.078      117.760
      174        1.021        5.069            0      412.323       57.899      120.782
      175        0.977        5.064            0      413.747       51.074      114.993
      176        1.042        5.133            0      412.045       50.431      118.602
      177        0.786        5.178            0      419.279       36.024      116.608
      178        0.766        5.175            0      419.608       42.525      115.054
      179        0.870        5.164            0      420.180       30.567      120.587
      180        0.873        5.153            0      419.289       48.276      115.131
      181        0.865        5.356            0      417.726       38.786      122.010
      182        0.957        5.234            0      420.727       55.528      115.052
      183        0.910        5.207            0      418.718       44.847      116.526
      184        0.926        5.092            0      418.627       43.773      114.188
      185        0.872        5.178            0      415.145       39.487      111.753
      186        0.967        5.172            0      416.726       59.199      117.375
      187        0.853        5.119            0      416.453       46.546      117.760
      188        1.036        5.356            0      419.593       36.752      121.305
      189        1.263        5.350            0      414.989       33.980      122.878
      190        1.036        5.272            0      417.606       53.455      117.146
      191        1.363        5.303            0      416.446       44.854      121.864
      192        1.356        5.376            0      421.019       44.804      121.099
      193        1.396        5.275            0      416.926       33.232      122.177
      194        1.230        5.280            0      415.787       30.788      115.853
      195        1.337        5.255            0      419.277       25.606      122.620
      196        1.227        5.347            0      417.786       38.691      122.709
      197        1.284        5.335            0      415.633       38.458      121.226
      198        1.211        5.395            0      421.971       28.046      119.287
      199        1.142        5.340            0      419.809       23.741      121.481
      200        1.422        5.374            0      419.937       35.231      120.474
      201        1.241        5.375            0      421.051       36.717      115.114
      202        1.204        5.382            0      417.551       44.779      118.521
      203        1.238        5.369            0      419.627       37.276      121.499
      204        1.216        5.348            0      418.644       47.847      122.943
      205        1.063        5.385            0      420.166       36.861      122.516
      206        1.106        5.330            0      413.781       22.358      107.028
      207        1.207        5.363            0      424.162       35.433      118.767
      208        1.304        5.313            0      420.699       30.293      116.085
      209        1.227        5.345            0      420.437       29.047      118.144
      210        1.278        5.372            0      415.122       28.879      117.989
      211        1.426        5.457            0      417.898       23.629      117.893
      212        1.204        5.348            0      417.547       19.280      115.121
      213        1.302        5.292            0      419.726        6.410      118.244
      214        1.133        5.392            0      419.088       24.780      116.316
      215        1.158        5.368            0      417.212       18.014      117.145
      216        1.280        5.397            0      417.882       29.081      118.307
      217        1.111        5.370            0      419.648       43.716      124.151
      218        1.109        5.373            0      416.899       36.474      116.192
      219        1.131        5.408            0      418.685       39.954      118.186
      220        1.216        5.430            0      420.356       39.339      121.641
      221        1.334        5.323            0      417.905       35.986      116.754
      222        1.453        5.274            0      415.649       30.366      118.467
      223        1.327        5.254            0      416.677       38.154      122.779
      224        1.398        5.408            0      416.757       35.105      126.327
      225        1.343        5.251            0      416.266       24.266      132.094
      226        1.469        5.395            0      419.147       28.386      121.227
      227        1.412        5.437            0      416.800       29.012      119.245
      228        1.116        5.281            0      414.617       38.569      116.033
      229        1.019        5.305            0      417.368       33.954      118.042
      230        1.178        5.361            0      415.091       24.746      114.555
